County,State,Age.Percent 65 and Older,Income.Per Capita Income
Butler County,MO,19.2,21652
Butler County,NE,21.3,30095
Butler County,OH,15.1,31921
Butler County,PA,19.4,37811
Butte County,CA,18.4,29506
Butte County,ID,23.6,30294
Butte County,SD,20.5,26961
Butts County,GA,15.8,27195
Cabarrus County,NC,13.4,32255
Cabell County,WV,19.4,25271
Cache County,UT,9.8,23713
Caddo County,OK,16.9,23167
Caddo Parish,LA,17.7,26545
Calaveras County,CA,28,33456
Calcasieu Parish,LA,15.2,28778
Caldwell County,KY,21.3,28799
Caldwell County,MO,20.1,24581
Caldwell County,NC,20.4,23869
Caldwell County,TX,14.9,25086
Caldwell Parish,LA,18.1,23216
Caledonia County,VT,22.1,29769
Calhoun County,AL,18.1,25345
Calhoun County,AR,22,23688
Calhoun County,FL,18.9,19304
Calhoun County,GA,16.6,14005
Calhoun County,IA,23.5,28434
Calhoun County,IL,24.1,28822
Calhoun County,MI,18.2,26855
Calhoun County,MS,19.5,19229
Calhoun County,SC,23.9,26398
Calhoun County,TX,18.7,27268
Calhoun County,WV,25.6,20447
Callahan County,TX,21.2,26051
Callaway County,MO,16.7,25849
Calloway County,KY,17.5,23219
Calumet County,WI,15.7,35527
Calvert County,MD,15.5,45783
Camas County,ID,24.4,30209
Cambria County,PA,23.2,26008
Camden County,GA,14.2,29741
Camden County,MO,28.9,28275
Camden County,NC,16.9,28221
Camden County,NJ,16.1,35958
Cameron County,PA,28.1,24528
Cameron County,TX,13.8,17430
Cameron Parish,LA,17,28358
Camp County,TX,19,22449
Campbell County,KY,16.1,34025
Campbell County,SD,29.3,32684
Campbell County,TN,21,24212
Campbell County,VA,20.3,27739
Campbell County,WY,10.7,34776
Canadian County,OK,13.3,30755
Candler County,GA,18.6,20687
Cannon County,TN,18.5,26435
Canyon County,ID,14,22232
Cape Girardeau County,MO,17.1,28267
Cape May County,NJ,27.3,40389
Carbon County,MT,26.8,33067
Carbon County,PA,21.7,29202
Carbon County,UT,18,23862
Carbon County,WY,18,29552
Caribou County,ID,17.3,26221
Carlisle County,KY,21.6,30065
Carlton County,MN,17.5,29440
Caroline County,MD,16.7,29624
Caroline County,VA,16.9,31568
Carroll County,AR,23.9,25295
Carroll County,GA,13.8,24993
Carroll County,IA,20.7,31648
Carroll County,IL,25.8,29166
Carroll County,IN,20,29366
Carroll County,KY,15.7,25217
Carroll County,MD,17.3,42083
Carroll County,MO,22.1,25715
Carroll County,MS,24.2,22385
Carroll County,NH,29,37490
Carroll County,OH,21.6,29518
